Gen A	Gen B	Winner	Strength
hsa:7976	hsa:10000	Gen A	100
hsa:7976	hsa:207	Gen A	100
hsa:7976	hsa:208	Gen A	100
hsa:7976	hsa:2475	Gen A	106
hsa:7976	hsa:3480	Gen A	64
hsa:7976	hsa:3479	Gen A	62
hsa:7976	hsa:6198	Gen A	108
hsa:7976	hsa:6199	Gen A	108
hsa:7976	hsa:6654	Gen A	88
hsa:7976	hsa:6655	Gen A	88
hsa:7976	hsa:3265	Gen A	92
hsa:7976	hsa:3845	Gen A	92
hsa:7976	hsa:4893	Gen A	92
hsa:7976	hsa:2885	Gen A	86
hsa:7976	hsa:5604	Gen A	104
hsa:7976	hsa:5605	Gen A	104
hsa:7976	hsa:5594	Gen A	108
hsa:7976	hsa:5595	Gen A	108
hsa:7976	hsa:369	Gen A	98
hsa:7976	hsa:5894	Gen A	98
hsa:7976	hsa:673	Gen A	98
hsa:7976	hsa:8202	Gen B	16
hsa:7976	hsa:8648	Gen B	16
hsa:7976	hsa:5241	Gen B	16
hsa:7976	hsa:8600	Gen A	110
hsa:7976	hsa:2099	Gen B	16
hsa:7976	hsa:2100	Gen B	16
hsa:7976	hsa:10683	Gen A	18
hsa:7976	hsa:28514	Gen A	18
hsa:7976	hsa:54567	Gen A	18
hsa:7976	hsa:4851	Gen A	24
hsa:7976	hsa:4853	Gen A	24
hsa:7976	hsa:4854	Gen A	24
hsa:7976	hsa:4855	Gen A	24
hsa:7976	hsa:2353	Gen B	16
hsa:7976	hsa:3725	Gen B	16
hsa:7976	hsa:6667	Gen B	16
hsa:7976	hsa:2324	Gen A	110
hsa:7976	hsa:182	Gen A	20
hsa:7976	hsa:3714	Gen A	20
hsa:8321	hsa:8322	Draw	0
hsa:8321	hsa:8323	Draw	0
hsa:8321	hsa:8324	Draw	0
hsa:8321	hsa:8325	Draw	0
hsa:8321	hsa:8326	Draw	0
hsa:8321	hsa:1855	Gen A	60
hsa:8321	hsa:1856	Gen A	60
hsa:8321	hsa:1857	Gen A	60
hsa:8321	hsa:10023	Gen A	60
hsa:8321	hsa:23401	Gen A	60
